Facility_Name,Facility_Type,ISCED020,ISCED1,ISCED2,ISCED3,Full_Addr,City,Prov_Terr,Postal_Code,CSDNAME,Longitude,Latitude
École Joseph-Moreau,Francophone,0,0,1,0,9750 - 74 Avenue Edmonton AB T6E1E8,Edmonton,AB,T6E1E8,Edmonton,-113.4812942,53.51064275
École Alexandre-Taché,Francophone,0,0,1,1,30 Erin Ridge Drive St. Albert AB T8N5S5,St. Albert,AB,T8N5S5,St. Albert,-113.6250664,53.65889362
École Saint-Vital,Francophone,1,1,1,0,5505 Avenue Magasin Beaumont AB T4X1V8,Beaumont,AB,T4X1V8,Beaumont,-113.4219248,53.3385921
École Michaëlle-Jean,Francophone,0,1,1,1,10005 - 84 Street NW Edmonton AB T6A3P8,Edmonton,AB,T6A3P8,Edmonton,-113.456566,53.53972827
École Mont Carmel,Public,1,1,1,0,"1545, Route 525 Sainte-Marie-de-Kent E4S 2H2 NB",Sainte-Marie-de-Kent,NB,E4S2H2,Saint Mary,-64.82560578,46.41469453
École Dr-Marguerite-Michaud,Public,1,1,1,0,"42, avenue Richard Bouctouche E4S 3N1 NB",Bouctouche,NB,E4S3N1,Bouctouche,-64.72257482,46.47376375
École Blanche-Bourgeois,Public,1,1,1,0,"29, chemin Cocagne Cross Cocagne E4R 2J1 NB",Cocagne,NB,E4R2J1,Cocagne,-64.61581399,46.34761686
École Camille-Vautour,Public,1,1,1,0,"7, avenue Clément Saint-Antoine E4V 1E2 NB",Saint-Antoine,NB,E4V1E2,Saint-Antoine,-64.75362401,46.35959505
École Notre-Dame,Public,1,1,1,0,"3860, Route 115 Notre-Dame E4V 2J2 NB",Notre-Dame,NB,E4V2J2,Dundas,-64.73485047,46.30704659
École Mgr-François-Bourgeois,Public,1,1,1,0,"294, avenue Belliveau Shediac E4P 1H6 NB",Shediac,NB,E4P1H6,Shediac,-64.53770118,46.22255028
École Père-Edgar-T.-LeBlanc,Public,1,1,1,0,"1351, Route 133 Grand-Barachois E4P 8C8 NB",Grand-Barachois,NB,E4P8C8,Beaubassin East / Beaubassin-est,-64.42154212,46.22391607
École Donat-Robichaud,Public,1,1,1,0,"2632, chemin Acadie Cap-Pelé E4N 1E3 NB",Cap-Pelé,NB,E4N1E3,Cap-Pelé,-64.27354423,46.21773523
École Abbey-Landry,Public,1,1,1,0,"432, rue Centrale Memramcook E4K 3S5 NB",Memramcook,NB,E4K3S5,Memramcook,-64.56767943,45.98085632
École Saint-Henri,Public,1,1,0,0,"101, avenue Gross Moncton E1C 7H3 NB",Moncton,NB,E1C7H3,Moncton,-64.81003496,46.10472898
École Sainte-Bernadette,Public,1,1,0,0,"46, rue Upton Moncton E1E 3Z1 NB",Moncton,NB,E1E3Z1,Moncton,-64.80042564,46.07845819
École des Bâtisseurs,Public,1,1,0,0,"715, rue Priestman Fredericton E3B 5W7 NB",Fredericton,NB,E3B5W7,Fredericton,-66.6518504,45.94187972
École communautaire Ernest-Lang,Public,1,1,1,0,"13, rue Bellevue Saint-François-de-Madawaska E7A 1A4 NB",Saint-François-de-Madawaska,NB,E7A1A4,Saint-François de Madawaska,-68.70524738,47.24179902
Centre d'apprentissage du Haut-Madawaska,Public,1,1,1,0,"323, boulevard Long Clair E7A 2C5 NB",Clair,NB,E7A2C5,Clair,-68.60631266,47.25669283
École Saint-Jacques,Public,1,1,1,0,"10, rue de l'École Saint-Jacques E7B 1E7 NB",Saint-Jacques,NB,E7B1E7,Edmundston,-68.38793212,47.42919212
École communautaire Saint-Joseph,Public,1,1,1,0,"562, chemin Toussaint Saint-Joseph-de-Madawaska E7B 2T8 NB",Saint-Joseph-de-Madawaska,NB,E7B2T8,Saint-Joseph,-68.3162877,47.45515371
Carrefour de la Jeunesse,Public,1,1,1,0,"54, 21e avenue Edmundston E3V 2B9 NB",Edmundston,NB,E3V2B9,Edmundston,-68.33845921,47.36460437
École L'Escale-des-Jeunes,Public,1,1,1,0,"2930, rue Morais Bas-Caraquet E1W 6A8 NB",Bas-Caraquet,NB,E1W6A8,Bas-Caraquet,-64.83114754,47.79808431
École Marguerite-Bourgeoys,Public,1,1,1,0,"238, rue Marguerite-Bourgeoys C. P. 5680 Caraquet E1W 1B7 NB",Caraquet,NB,E1W1B7,Caraquet,-64.96533163,47.78720406
École Ola-Léger,Public,1,1,1,0,"642, boulevard des Acadiens Bertrand E1W 1G8 NB",Bertrand,NB,E1W1G8,Bertrand,-65.07782432,47.74672019
École Léandre-LeGresley,Public,1,1,1,0,"261, rue Acadie C.P. 1003 Grande-Anse E8N 2T9 NB",Grande-Anse,NB,E8N2T9,Grande-Anse,-65.18650817,47.81121665
École Terre des Jeunes,Public,1,1,1,0,"1191, rue des Fondateurs Paquetville E8R 1A9 NB",Paquetville,NB,E8R1A9,Paquetville,-65.10805444,47.67064772
École Le Sommet,Public,1,1,1,0,"701, rue Ryan Moncton E1G 5R2 NB",Moncton,NB,E1G5R2,Moncton,-64.86499111,46.10591535
Centre scolaire Samuel-de-Champlain,Public,1,1,1,1,"67, chemin Ragged Point Saint John E2K 5C3 NB",Saint John,NB,E2K5C3,Saint John,-66.1158028,45.29432159
École La Villa des Amis,Public,1,1,1,0,"6830, Route 11 Tracadie Beach E1X 4P4 NB",Tracadie Beach,NB,E1X4P4,Tracadie,-64.916153,47.44438919
École La Passerelle,Public,1,1,1,0,"5067, Route 160 Pont-Landry E1X 2V5 NB",Pont-Landry,NB,E1X2V5,Tracadie,-64.96338644,47.57475532
École La Ruche,Public,1,1,0,0,"635, rue de l'Église Tracadie-Sheila E1X 1B1 NB",Tracadie-Sheila,NB,E1X1B1,Tracadie,-64.9234184,47.51263595
École La Source,Public,1,1,1,0,"906, rue Louis-G.-Daigle C. P. 4059, Succ.B Tracadie-Sheila E1X 1G4 NB",Tracadie-Sheila,NB,E1X1G4,Tracadie,-64.92328586,47.47915924
Académie Assomption,Public,1,1,0,0,"1255, promenade Rough Waters Bathurst E2A 1Z2 NB",Bathurst,NB,E2A1Z2,Bathurst,-65.63344789,47.61019356
François-Xavier-Daigle,Public,1,1,1,0,"4572, Route 134 Allardville E8L 1E4 NB",Allardville,NB,E8L1E4,Allardville,-65.4942474,47.4757187
École La Relève-de-Saint-Isidore,Public,1,1,1,0,"3953, boulevard des Fondateurs Saint-Isidore E8M 1C1 NB",Saint-Isidore,NB,E8M1C1,Saint-Isidore,-65.05172096,47.55448218
Étoile de l'Acadie,Public,1,1,1,1,"50, rue de l'École Rogersville E4Y 1V7 NB",Rogersville,NB,E4Y1V7,Rogersville,-65.4227644,46.73220873
École Soleil Levant,Public,1,1,1,0,"45, rue Morgan Richibucto E4W 4E8 NB",Richibucto,NB,E4W4E8,Richibucto,-64.86508971,46.69491719
